All Racers - ELO and License Report
Generated on: 2025-10-04 15:35:26
====================================================================================================

Rank   Name                                License         ELO        Steam GUID
----------------------------------------------------------------------------------------------------
1      Parmesan                            A               2012       76561198309443188
2      [DLRT] Articulatefox                A               1941       76561198135642660
3      Mylan Eling                         A               1930       76561199060299709
4      Jawa                                A               1925       76561199027589694
5      BassCannon                          A               1916       76561198287158193
6      Mogo                                A               1882       76561197979979433
7      Alyias Flynn                        A               1854       76561198059480628
8      Dmitry Oss                          A               1850       76561198019267787
9      ohyeah2389                          A               1848       76561198111649540
10     Big Justice                         A               1834       76561199008053666
11     Splendid                            A               1831       76561197971872704
12     Sir Banana7720                      C               1831       76561199013532119
13     Jump_Raven                          A               1825       76561197994131629
14     Potato                              A               1814       76561198801402641
15     Botlando                            A               1810       76561198002604748
16     Boebie Boeberson                    B               1809       76561198092379135
17     baller                              B               1808       76561198940512950
18     SpeedBump                           A               1801       76561198987735116
19     Boat                                A               1797       76561198811265034
20     Soup                                A               1793       76561198813709452
21     theraxo                             A               1792       76561199166486667
22     sebastien_beaulieu                  A               1776       76561199106047354
23     Michals                             A               1769       76561198151341342
24     Dan                                 B               1767       76561198027893703
25     Moe Powers                          A               1762       76561199183099394
26     Tommy Boy                           A               1760       76561198047002406
27     Kiagoalski                          A               1754       76561199087354592
28     Buggy                               B               1753       76561198103373944
29     niggo.e36                           A               1750       76561198079460346
30     Locket Rauncher                     B               1749       76561198002378355
31     im2slick4u                          C               1747       76561199093706865
32     Nebojsa Brankovic                   B               1746       76561198312567918
33     J2Quick                             C               1741       76561198337770553
34     Josh Fulton                         B               1739       76561198013813110
35     iamajai                             B               1737       76561197971257030
36     NicksSkillz                         B               1730       76561198023212152
37     Vojtech Adamira                     B               1724       76561199121818116
38     D4ncC                               B               1723       76561198196672310
39     CTRL | IttzzDiogoPT                 B               1717       76561198204175552
40     Yossarian                           B               1711       76561198042272495
41     Jackyback                           B               1709       76561198133860403
42     Feras Slient                        B               1707       76561198097901659
43     rev174                              D               1704       76561198027981090
44     wibba                               B               1703       76561198806167197
45     Jere V.                             B               1697       76561199017651793
46     ClutchRuss                          B               1693       76561199005426478
47     Project Purple                      B               1690       76561199016198981
